"CPP","Year","Indicator","Type","value"
"Aberdeen City","2010/11","Primary 1 Body Mass Index","Raw",77.6817449502846
"Aberdeen City","2011/12","Primary 1 Body Mass Index","Raw",78.1375510491081
"Aberdeen City","2012/13","Primary 1 Body Mass Index","Raw",76.2365138592623
"Aberdeen City","2013/14","Primary 1 Body Mass Index","Raw",76.5953700964226
"Aberdeen City","2014/15","Primary 1 Body Mass Index","Raw",75.7976894641031
"Aberdeen City","2015/16","Primary 1 Body Mass Index","Raw",76.8919937043589
"Aberdeen City","2016/17","Primary 1 Body Mass Index","Raw",76.3311875190239
"Aberdeen City","2017/18","Primary 1 Body Mass Index","Raw",77.4236139288996
"Aberdeen City","2018/19","Primary 1 Body Mass Index","Raw",74.956732259099
"Aberdeenshire","2010/11","Primary 1 Body Mass Index","Raw",78.5987545785784
"Aberdeenshire","2011/12","Primary 1 Body Mass Index","Raw",78.104068745386
"Aberdeenshire","2012/13","Primary 1 Body Mass Index","Raw",76.6741732336065
"Aberdeenshire","2013/14","Primary 1 Body Mass Index","Raw",76.4977453559425
"Aberdeenshire","2014/15","Primary 1 Body Mass Index","Raw",76.062925986028
"Aberdeenshire","2015/16","Primary 1 Body Mass Index","Raw",76.5776747746738
"Aberdeenshire","2016/17","Primary 1 Body Mass Index","Raw",76.4741796858277
"Aberdeenshire","2017/18","Primary 1 Body Mass Index","Raw",77.0621845830057
"Angus","2003/04","Primary 1 Body Mass Index","Raw",77.1502722657289
"Angus","2004/05","Primary 1 Body Mass Index","Raw",75.7033276287944
"Angus","2005/06","Primary 1 Body Mass Index","Raw",76.1054470504479
"Angus","2006/07","Primary 1 Body Mass Index","Raw",77.6017982370762
"Angus","2007/08","Primary 1 Body Mass Index","Raw",78.289028468094
"Angus","2008/09","Primary 1 Body Mass Index","Raw",77.3651214354985
"Angus","2009/10","Primary 1 Body Mass Index","Raw",74.7917298846631
"Angus","2010/11","Primary 1 Body Mass Index","Raw",74.7217807708001
"Angus","2011/12","Primary 1 Body Mass Index","Raw",75.9328770511006
"Angus","2012/13","Primary 1 Body Mass Index","Raw",76.6946678905886
"Angus","2013/14","Primary 1 Body Mass Index","Raw",77.011236730198
"Angus","2014/15","Primary 1 Body Mass Index","Raw",76.6989188606283
"Angus","2015/16","Primary 1 Body Mass Index","Raw",76.8011867697954
"Angus","2016/17","Primary 1 Body Mass Index","Raw",76.7147582928792
"Angus","2017/18","Primary 1 Body Mass Index","Raw",76.1444081317665
"Argyll and Bute","2009/10","Primary 1 Body Mass Index","Raw",72.6560428702134
"Argyll and Bute","2010/11","Primary 1 Body Mass Index","Raw",73.8667775368115
"Argyll and Bute","2011/12","Primary 1 Body Mass Index","Raw",74.2135482346875
"Argyll and Bute","2012/13","Primary 1 Body Mass Index","Raw",74.1714698068362
"Argyll and Bute","2013/14","Primary 1 Body Mass Index","Raw",74.2899188269397
"Argyll and Bute","2014/15","Primary 1 Body Mass Index","Raw",74.8885952451518
"Argyll and Bute","2015/16","Primary 1 Body Mass Index","Raw",75.5771409336975
"Argyll and Bute","2016/17","Primary 1 Body Mass Index","Raw",75.4541379375934
"Argyll and Bute","2017/18","Primary 1 Body Mass Index","Raw",73.3902632170841
"Argyll and Bute","2018/19","Primary 1 Body Mass Index","Raw",73.0697921436009
"Argyll and Bute","2019/20","Primary 1 Body Mass Index","Raw",70.5509780648983
"Clackmannanshire","2006/07","Primary 1 Body Mass Index","Raw",74.6307323075678
"Clackmannanshire","2007/08","Primary 1 Body Mass Index","Raw",76.8988390787171
"Clackmannanshire","2008/09","Primary 1 Body Mass Index","Raw",77.4195017945018
"Clackmannanshire","2009/10","Primary 1 Body Mass Index","Raw",77.4076035521819
"Clackmannanshire","2010/11","Primary 1 Body Mass Index","Raw",77.1657091277779
"Clackmannanshire","2011/12","Primary 1 Body Mass Index","Raw",78.2127320057867
"Clackmannanshire","2012/13","Primary 1 Body Mass Index","Raw",76.082748543623
"Clackmannanshire","2013/14","Primary 1 Body Mass Index","Raw",76.8373604427697
"Clackmannanshire","2014/15","Primary 1 Body Mass Index","Raw",74.9733308903689
"Clackmannanshire","2015/16","Primary 1 Body Mass Index","Raw",75.435434040074
"Clackmannanshire","2016/17","Primary 1 Body Mass Index","Raw",74.5834037823442
"Clackmannanshire","2017/18","Primary 1 Body Mass Index","Raw",73.9040642649088
